Month,New Papers,New Papers Cumulative,Revised Papers,Revised Papers Cumulative,Total Submissions,Total Submissions Cumulative
"Nov, 2013",60,60,13,13,73,73
"Dec, 2013",49,109,21,34,70,143
"Jan, 2014",54,163,20,54,74,217
"Feb, 2014",66,229,21,75,87,304
"Mar, 2014",43,272,30,105,73,377
"Apr, 2014",66,338,33,138,99,476
"May, 2014",81,419,21,159,102,578
"Jun, 2014",72,491,35,194,107,685
"Jul, 2014",67,558,27,221,94,779
"Aug, 2014",80,638,42,263,122,901
"Sep, 2014",93,731,39,302,132,"1,033"
"Oct, 2014",88,819,31,333,119,"1,152"
"Nov, 2014",81,900,39,372,120,"1,272"
"Dec, 2014",95,995,34,406,129,"1,401"
"Jan, 2015",114,"1,109",33,439,147,"1,548"
"Feb, 2015",88,"1,197",38,477,126,"1,674"
"Mar, 2015",120,"1,317",63,540,183,"1,857"
"Apr, 2015",119,"1,436",61,601,180,"2,037"
"May, 2015",112,"1,548",57,658,169,"2,206"
"Jun, 2015",128,"1,676",60,718,188,"2,394"
"Jul, 2015",159,"1,835",63,781,222,"2,616"
"Aug, 2015",159,"1,994",83,864,242,"2,858"
"Sep, 2015",163,"2,157",72,936,235,"3,093"
"Oct, 2015",191,"2,348",91,"1,027",282,"3,375"
"Nov, 2015",227,"2,575",73,"1,100",300,"3,675"
"Dec, 2015",194,"2,769",82,"1,182",276,"3,951"
"Jan, 2016",202,"2,971",91,"1,273",293,"4,244"
"Feb, 2016",271,"3,242",122,"1,395",393,"4,637"
"Mar, 2016",366,"3,608",154,"1,549",520,"5,157"
"Apr, 2016",345,"3,953",145,"1,694",490,"5,647"
"May, 2016",388,"4,341",165,"1,859",553,"6,200"
"Jun, 2016",400,"4,741",133,"1,992",533,"6,733"
"Jul, 2016",386,"5,127",150,"2,142",536,"7,269"
"Aug, 2016",448,"5,575",175,"2,317",623,"7,892"
"Sep, 2016",438,"6,013",159,"2,476",597,"8,489"
"Oct, 2016",457,"6,470",211,"2,687",668,"9,157"
"Nov, 2016",463,"6,933",189,"2,876",652,"9,809"
"Dec, 2016",557,"7,490",209,"3,085",766,"10,575"
"Jan, 2017",586,"8,076",225,"3,310",811,"11,386"
"Feb, 2017",623,"8,699",249,"3,559",872,"12,258"
"Mar, 2017",813,"9,512",333,"3,892","1,146","13,404"
"Apr, 2017",741,"10,253",286,"4,178","1,027","14,431"
"May, 2017",958,"11,211",362,"4,540","1,320","15,751"
"Jun, 2017","1,097","12,308",405,"4,945","1,502","17,253"
"Jul, 2017",978,"13,286",397,"5,342","1,375","18,628"
"Aug, 2017",988,"14,274",477,"5,819","1,465","20,093"
"Sep, 2017","1,060","15,334",451,"6,270","1,511","21,604"
"Oct, 2017","1,208","16,542",494,"6,764","1,702","23,306"
"Nov, 2017","1,196","17,738",500,"7,264","1,696","25,002"
"Dec, 2017","1,099","18,837",447,"7,711","1,546","26,548"
"Jan, 2018","1,247","20,084",565,"8,276","1,812","28,360"
"Feb, 2018","1,227","21,311",528,"8,804","1,755","30,115"
"Mar, 2018","1,483","22,794",614,"9,418","2,097","32,212"
"Apr, 2018","1,495","24,289",553,"9,971","2,048","34,260"
"May, 2018","1,932","26,221",638,"10,609","2,570","36,830"
"Jun, 2018","1,869","28,090",650,"11,259","2,519","39,349"
"Jul, 2018","1,727","29,817",677,"11,936","2,404","41,753"
"Aug, 2018","1,862","31,679",694,"12,630","2,556","44,309"
"Sep, 2018","1,915","33,594",629,"13,259","2,544","46,853"
"Oct, 2018","2,119","35,713",797,"14,056","2,916","49,769"
"Nov, 2018","1,955","37,668",735,"14,791","2,690","52,459"
"Dec, 2018","1,952","39,620",707,"15,498","2,659","55,118"
"Jan, 2019","2,174","41,794",853,"16,351","3,027","58,145"
"Feb, 2019","2,083","43,877",695,"17,046","2,778","60,923"
"Mar, 2019","2,408","46,285",884,"17,930","3,292","64,215"
"Apr, 2019","2,244","48,529",842,"18,772","3,086","67,301"
"May, 2019","2,509","51,038",918,"19,690","3,427","70,728"
"Jun, 2019","2,355","53,393",854,"20,544","3,209","73,937"
"Jul, 2019","2,614","56,007",986,"21,530","3,600","77,537"
"Aug, 2019","2,375","58,382",951,"22,481","3,326","80,863"
"Sep, 2019","2,644","61,026",910,"23,391","3,554","84,417"
"Oct, 2019","2,909","63,935","1,013","24,404","3,922","88,339"
"Nov, 2019","2,564","66,499",925,"25,329","3,489","91,828"
"Dec, 2019","2,302","68,801",852,"26,181","3,154","94,982"
"Jan, 2020","2,657","71,458",992,"27,173","3,649","98,631"
"Feb, 2020","2,744","74,202","1,022","28,195","3,766","102,397"
"Mar, 2020","3,037","77,239","1,167","29,362","4,204","106,601"
"Apr, 2020","3,413","80,652","1,249","30,611","4,662","111,263"
"May, 2020","3,797","84,449","1,361","31,972","5,158","116,421"
"Jun, 2020","3,819","88,268","1,327","33,299","5,146","121,567"
"Jul, 2020","3,696","91,964","1,318","34,617","5,014","126,581"
"Aug, 2020","3,186","95,150","1,137","35,754","4,323","130,904"
"Sep, 2020","3,151","98,301","1,201","36,955","4,352","135,256"
"Oct, 2020","3,188","101,489","1,235","38,190","4,423","139,679"
"Nov, 2020","3,006","104,495","1,121","39,311","4,127","143,806"
"Dec, 2020","3,023","107,518","1,193","40,504","4,216","148,022"
"Jan, 2021","3,004","110,522","1,259","41,763","4,263","152,285"
"Feb, 2021","3,155","113,677","1,230","42,993","4,385","156,670"
"Mar, 2021","3,524","117,201","1,431","44,424","4,955","161,625"
"Apr, 2021","3,250","120,451","1,262","45,686","4,512","166,137"
"May, 2021","3,229","123,680","1,272","46,958","4,501","170,638"
"Jun, 2021","3,000","126,680","1,192","48,150","4,192","174,830"
"Jul, 2021","2,934","129,614","1,141","49,291","4,075","178,905"
"Aug, 2021","2,847","132,461","1,143","50,434","3,990","182,895"
"Sep, 2021","3,026","135,487","1,141","51,575","4,167","187,062"
"Oct, 2021","3,061","138,548","1,162","52,737","4,223","191,285"
"Nov, 2021","2,870","141,418","1,142","53,879","4,012","195,297"
"Dec, 2021","2,965","144,383","1,049","54,928","4,014","199,311"
"Jan, 2022","2,855","147,238","1,080","56,008","3,935","203,246"
"Feb, 2022","2,646","149,884","1,020","57,028","3,666","206,912"
"Mar, 2022","3,189","153,073","1,120","58,148","4,309","211,221"
"Apr, 2022","2,695","155,768","1,084","59,232","3,779","215,000"
"May, 2022","3,087","158,855","1,173","60,405","4,260","219,260"
"Jun, 2022","2,891","161,746","1,050","61,455","3,941","223,201"
"Jul, 2022","2,985","164,731","1,043","62,498","4,028","227,229"
"Aug, 2022","2,905","167,636","1,053","63,551","3,958","231,187"
"Sep, 2022","3,283","170,919","1,001","64,552","4,284","235,471"
"Oct, 2022","3,211","174,130","1,110","65,662","4,321","239,792"
"Nov, 2022","2,993","177,123","1,107","66,769","4,100","243,892"
"Dec, 2022","3,010","180,133",997,"67,766","4,007","247,899"
"Jan, 2023","2,987","183,120","1,099","68,865","4,086","251,985"
"Feb, 2023","2,995","186,115","1,147","70,012","4,142","256,127"
"Mar, 2023","3,447","189,562","1,285","71,297","4,732","260,859"
"Apr, 2023","2,955","192,517","1,146","72,443","4,101","264,960"
